Suburb;Fire_Station
AAN DE WIJNLANDEN ESTATE;MFULENI
ACACIA PARK;BROOKLYN
ADMIRALS PARK;STRAND
ADRIAANSE;EPPING
AIRPORT;LANSDOWNE ROAD
AIRPORT CITY;GUGULETU
AMANDA GLEN;DURBANVILLE
AMANDELRUG;KUILSRIVER
AMANDELSIG;KUILSRIVER
ANCHORAGE PARK;STRAND
ANNANDALE;KUILSRIVER
ANNANDALE FARM;MILNERTON
ANTILLES/CAYMAN BEACH;STRAND
ARAUNA;BRACKENFELL
ASANDA;STRAND
ASLA PARK;STRAND
ATHLONE;WYNBERG
ATLANTIS INDUSTRIAL;ATLANTIS
ATLAS GARDENS BUSINESS PARK;MILNERTON
AUDAS ESTATE;SOMERSET WEST
AURORA;DURBANVILLE
AUSTINVILLE;MFULENI
AVALON ESTATE;KRAAIFONTEIN
AVON;EPPING
AVONDALE - PAROW;GOODWOOD
AVONDALE - WESFLEUR;ATLANTIS
AVONWOOD;EPPING
BALVENIE;EPPING
BANTRY BAY;SEA POINT
BARNET MOLOKWANA CORNER;LANSDOWNE ROAD
BARONETCY ESTATE;GOODWOOD
BEACON HILL;ATLANTIS
BEACON VALLEY;MITCHELLS PLAIN
BEACONVALE;GOODWOOD
BEL'AIRE;SOMERSET WEST
BELGRAVIA;WYNBERG
BELGRAVIA -BELLVILLE;BELLVILLE
BELHAR EXT 1;BELHAR
BELHAR EXT 10;BELHAR
BELHAR EXT 11;BELHAR
BELHAR EXT 12;BELHAR
BELHAR EXT 13;BELHAR
BELHAR EXT 14;BELHAR
BELHAR EXT 15;BELHAR
BELHAR EXT 16;BELHAR
BELHAR EXT 17;BELHAR
BELHAR EXT 18;BELHAR
BELHAR EXT 19;BELHAR
BELHAR EXT 2;BELHAR
BELHAR EXT 20;BELHAR
BELHAR EXT 21;BELHAR
BELHAR EXT 22;BELHAR
BELHAR EXT 23;BELHAR
BELHAR EXT 3;BELHAR
BELHAR EXT 4;BELHAR
BELHAR EXT 5;BELHAR
BELHAR EXT 6;BELHAR
BELHAR EXT 7;BELHAR
BELHAR EXT 8;BELHAR
BELHAR EXT 9;BELHAR
BELL GLEN;MACASSAR
BELLAIR;BELLVILLE
BELLVILLE CBD;BELLVILLE
BELLVILLE LANDFILL;BELHAR
BELLVILLE SOUTH;BELLVILLE
BELLVILLE SOUTH INDUSTRIA;BELLVILLE
BELLVILLE TEACHERS COLLEGE;KUILSRIVER
BELMONT PARK;KRAAIFONTEIN
BELRAIL;BELLVILLE
BELTHORN ESTATE;OTTERY
BELVEDERE TYGERBERG;GOODWOOD
BENE TOWNSHIP;SOMERSET WEST
BENNO PARK;KUILSRIVER
BERBAGO;SOMERSET WEST
BERGVLIET;CONSTANTIA
BETHANIE;DURBANVILLE
BIG BAY;MELKBOSSTRAND
BISHOP LAVIS;EPPING
BISHOPSCOURT;CONSTANTIA
BIZWENI;SOMERSET WEST
BLAAUWBERGSTRAND;MELKBOSSTRAND
BLACKHEATH INDUSTRIA;KUILSRIVER
BLOEKOMBOS;KRAAIFONTEIN
BLOEMHOF;BELLVILLE
BLOMMENDAL;BELLVILLE
BLOMTUIN;BELLVILLE
BLOMVLEI;BELLVILLE
BLOUBERG RISE;MILNERTON
BLOUBERG SANDS;MILNERTON
BLOUBERGRANT;MILNERTON
BLUE DOWNS CBD;MFULENI
BO OAKDALE;BELLVILLE
BO-KAAP;ROELAND STREET
BONGANI;LANSDOWNE ROAD
BONNIE BRAE;KRAAIFONTEIN
BONNIE BROOK;KRAAIFONTEIN
BONTEHEUWEL;EPPING
BOQUINAR INDUSTRIAL AREA;GUGULETU
BOSBELL;BELLVILLE
BOSKLOOF;SIR LOWRYS PASS
BOSONIA;KUILSRIVER
BOSTON;BELLVILLE
BOTFONTEIN SMALLHOLDINGS;BRACKENFELL
BOTHASIG;MILNERTON
BOTTELARY SMALLHOLDINGS 1;BRACKENFELL
BOTTELARY SMALLHOLDINGS 2;BRACKENFELL
BRACKEN HEIGHTS;BRACKENFELL
BRACKENFELL CENTRAL;BRACKENFELL
